CCTV-4 中文国际欧洲,rtp://239.3.1.213:4220
CCTV-4 中文国际美洲,rtp://239.3.1.214:4220
CGTN英语,rtp://239.3.1.215:4220
CGTN纪录,rtp://239.3.1.216:4220
CGTN西语,rtp://239.3.1.217:4220
CGTN法语,rtp://239.3.1.218:4220
CGTN阿语,rtp://239.3.1.219:4220
CGTN俄语,rtp://239.3.1.220:4220
兵团卫视,rtp://239.3.1.168:8196
北京文艺,rtp://239.3.1.242:8000
体育休闲,rtp://239.3.1.120:8000
北京影视,rtp://239.3.1.158:8000
北京新闻,rtp://239.3.1.159:8000
北京财经,rtp://239.3.1.116:8000
北京生活,rtp://239.3.1.117:8000
北京国际,rtp://239.3.1.235:8000
纪实科教,rtp://239.3.1.115:8000
卡酷少儿,rtp://239.3.1.189:8000
金鹰纪实,rtp://239.3.1.58:8156
茶友频道,rtp://239.3.1.165:8001
快乐垂钓,rtp://239.3.1.164:8001
CCTV-4K,rtp://239.3.1.245:2000
中国教育,rtp://239.3.1.57:8152
中国交通,rtp://239.3.1.188:8001
证券服务,rtp://239.3.1.24:8001
睛彩竞技,rtp://239.3.1.125:8001
睛彩篮球,rtp://239.3.1.126:8001
睛彩青少,rtp://239.3.1.127:8001
睛彩广场舞,rtp://239.3.1.128:8001
爱上4K,rtp://239.3.1.236:2000
4K超清,rtp://239.3.1.249:8001
城市剧场,rtp://239.3.1.67:4120
军旅剧场,rtp://239.3.1.68:4120
古装剧场,rtp://239.3.1.69:4120
精选高清,rtp://239.3.1.74:4120
武侠剧场,rtp://239.3.1.90:4120
喜剧影院,rtp://239.3.1.91:4120
,动作影院,rtp://239.3.1.92:4120
家庭影院,rtp://239.3.1.93:4120
星影高清,rtp://239.3.1.94:4120
光影高清,rtp://239.3.1.84:4120
动画高清,rtp://239.3.1.80:4120
经典电影,rtp://239.3.1.195:9024
group-title="数字" zz-definition="HD",重温经典,rtp://239.3.1.25:8001
热播剧场,rtp://239.3.1.194:9020
魅力时尚,rtp://239.3.1.196:9012
少儿动画,rtp://239.3.1.199:9000
CGTN英语,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN纪录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
